亲爱的，晚饭做什么吃？	红烧鲤鱼和鲜蘑油菜。
我要订制新的名片。	你想好需要多少了吗？
你好，我想买些名片。	太好了。你想要多少？
快一点儿，把我们的包放在存包柜里。	我们遇到麻烦了，存包柜已经全满了。我们应该早一点儿来的。
我要买套客厅家具。	你打算去哪儿找找看？
我打算买一套家具。	你想到哪儿去买？
我需要买一些印制好的名片。	你知道你需要多少吗？
我需要买一些名片。	没问题，你想买多少？
我在找老式的音乐盒。	你来对地方了，有什么年代上的要求吗？
先生，很抱歉。这是为购物15件或少于15件而设的绿色通道。你买的东西看起来多于15件.	拜托。我只有16件。通融下，行吗？
跟着我，孩子们。别丢了。	我才不是老爸呢。我在超 市里从来不走丢。
姐姐，你为什么带我来这个廉价市场啊？这里这么拥挤，而且你也买不到什么你真正想要的东西。	你就是不明白。淘便宜的东西会非常有趣啊。
你为什么在看这些分类广告？你需要买什么？	我想找个书架，但是我不想要一个新的。
我能为你做些什么？	我需要找一个新的冰箱。
嗨，托尼，你看起来不高兴。怎么了?	哦，史蒂文，我犯了个大错。
查克，你没事吧？你脸色看起来不太好．	我没事，凯瑟琳，就是昨天晚上熬夜学汉语，很晚才睡．
嗨，多莉丝。你看起来情绪不太高啊。发生什么事了？	嗯，我明天就要离开日本回伦敦去了。
戴安娜，你觉得智商和情商哪个更重要？	杰瑞，你为什么闯这么奇怪的问题呢？
我考完最后一门啦.	我终于要拿到我的硕士学位了.拿到学位的感觉真好!
戴安娜,我真的很羡慕你.	为什么啊,杰瑞?你这话让我摸不着头脑.
你多久上一次英语课？	我一周上一次课，但是我争取每天都练习。
你好，黛西	嗨，西蒙，很高兴再次见到你
凯特你好!最近还好吗?	挺好吧,你呢?
玛利亚,今天你的情绪为什么这么低落?振作点!	哎,艾瑞斯,是因为那个公共公司的实习机会.
申请赴美读研究生，最基本的规则是什么呢？	赶早不赶晚．
我放弃了！我就是学不会法语！	你为什么那样说？我觉得你取得了很大的进步。
这里这份是课程说明。	它对我有什么作用？
你是新来的吗？	是的，这是我第一次访问这里。
你能听懂她的意思吗？	不。我一窍不通。
你在这里有学什么语言吗？	是的，我在外语系学习。
你空闲时间喜欢做什么？	学英语。
你们在课堂上有说英文或者你们老师有用西班牙语向你们讲解吗？	噢，我们在课堂上从不说西班牙语！帕克老师只用英语跟我们讲。
嘿，我叫Lvan，我来自俄罗斯。	很高西认识你，Lvan。我叫Akiko。我来自日本。
英语中有很多习语吗？	习语有成千上万。英语习语表达方面特别丰富。
额，你似乎很喜欢说英语。	当你整天都用它的时候，你会忍不住学习它。你会明白的。在学校学几个星期对你会有相同的影响的。
玛丽，学校行政室在那里。	你不和我一起去吗？
好的。回到教室了，同学们。	又要课室上课了吗，Mam？
教授，我的论文已经交了。你看了吗？	是的。你写得不错。但是有一个问题。你应该缩小你的话题。
你想来参加我们的派对吗？	我很乐意。但是我今天不舒服。
你有一封信在邮箱。	拿这儿来。
你是新来的吗？	这是我来这里的第一天。
你一定是新来的吧。	我确实是新来的。
好的，同学们，今天我们将继续学习人体解剖学课。有谁能告诉我第一个重要的器官是什么吗？	大脑！
同学们，请安静，我有你们个性测试结果。我会把成绩发给你们，如果你们愿意，你可以将它大声读出来读出来让其他的人听到。	我愿意读我的。
你有一封信在邮箱。	 
你是这学校的新生吗？	是的，我是新来的。
你已经准备好了，是吗？	准备好什么？
你打算转到哪儿？	我好像无法做出决定。
这儿有你的一封信。	让我看看。
你是新来的，对吗？	是的，我是新来的。
你想好了要转到哪里去吗？	我想不出去哪儿。
你准备好了？	我准备好什么？
你知道你要转到哪儿吗？	我一点也不知道。
打扰一下，你知道签证办公室怎么走吗？	是，我知道。我和你一起过去吧。
这是你第一次参加初中运动会吧？	是的，太好了。运动会上都有哪些项目？
你的中文课进展得如何了？	噢，我学的非常慢。我觉得中文比英文要难学。
你选完了是吗？	选完了．
早上好，小姐。	早上好。我可以帮你吗？
那这个是什么？	老师，这是我的地理作业。你布置给我们的非洲地图。
我可以帮你吗？	希望如此。我在找写论文的一些材料，我不太清楚去哪里找。
好吧，我们需要有个计划。首先，你要哪一张床？	嗯，每个人都想要下铺。我们何不掷硬币来决定呢？
今天约翰逊先生的课上我没见到你。	是啊，我不上了。
毕业之后我会到一家跨国公司工作.	可是你说过你想成为一名企业家,当自己的老板.
第六题的答案是C，第七题是B，第八题是A......	李老师，您能再说一遍第七题是什么吗？我没听清楚。
嗨,上课怎么样?你喜欢吗?	我喜欢我的教授们和班里的同学,可作业实在是太多了.
你上过大学吗?	是的,我是青岛大学英语专业的学士.
嘿！上学第一天怎么样？我在第2年级，我喜欢这学期的课。在一个满是国际生的班级中感觉很棒。	我还可以，就是班里没人说英语。我想那会迫使我在课堂上多用中文交流，至少这学期我会大幅度提高中文水平。
你决定下一个学期要修什么了吗？	嗯，我的主修是英文。所以我要确定我修的课是正确的。
我今天能帮你些什么，艾丽斯？	嗯，我来是因为我想申请奖学金。
有什么我能帮忙的吗？	是的，我很想申请这里的研究生院。
我希望老师决定把考试成绩按比例加分。	我不会寄予期望的。
今天下午你想和我一起去溜冰吗？	噢，我很乐意去。但是我们要打扫宿舍。我不能缺席。
你的新宿舍怎样？	非常好。宿舍里有四个人，那些女孩都非常善良、友好。
我可以问个问题吗？	当然可以，什么问题？
比尔，你的作业太乱。	下次我会注意书写的。
嗨，Ann，请问你有笔吗？	当然，拿去吧。
嗨。这就是您点的东西。	你是这里新来的吗？我经常到这家咖啡厅来。但是我以前都没有在这里见过你。
这些是你的课本吗？生物化学、生态学概论、植物学、细胞遗传学、分子遗传学……	是的，为了期末考试，我得把它们全部复习一遍。马上就要期末考试了。
你看上去又累又热，杰克。你去锻炼了吧？	是的，我们刚跟二班进行了篮球比赛。
你认为这次考试怎样？	很难的，你呢？
你今天看起来好多了.你的测验怎么样?	比昨天好多了!
你就快大学毕业了.对未来有什么打算吗?	我想读研究生,还想找工作,不然如果没考上就没出路了.
你好，Cody，练得怎么样了？	这周我参加了几个考试以及口头陈述，所以我没有机会记住第2页，但是我想我掌握了棘手的部分。
好吧，Mark，轮到你去按门铃了，上次是我按的。	我讨厌挨家挨户得按门铃，我讨厌借钱。
嗨，乔，这些天你去哪里了？	我一直忙于一周前在红十字会那里开始学的急救课程。
大家好，欢迎来到为初学者开设的CPR课程。首先，有谁知道CPR是什么意思？	心肺复苏法。
我能帮你吗？	是的，我需要申请一张停车许可证。
我不知道如何是好。我需要找一个工作。如果我找不到，下个学期就没有办法留在这里。	你试过大学的兼职工作吗？
抱歉。你有时间吗？我想告诉你有关爆奇卡的事。	嗯……好吧，我想我是有一点时间。
你知道的，那次测验我考砸了。	别泄气！又不是一辈子只有一次机会考试得好成绩。以后还有嘛。
你介不介意我坐在这里？	不，你请坐吧。
或许你该跟老师谈谈。	不，那没用。
我在考虑申请哪一所学校。	是上公立学校还是私立学校？
你今年的课程表进度怎么样？	很紧。我今年要修很多学分。
你可以帮我在网上搜索一下吗？	当然可以！你想找什么？
是谁？	宿管。开门。
这学期你们上几门课？	总共八门。
你逻辑学要补考。	是吗，我以为我考得不错呢。
我必须回家读书。	为什么？
嗨，小雯！欢迎来到哥伦比亚特区！真高兴你来这里玩！	谢谢你邀请我来。老实说，我从没到过黑人这么多的地方！感觉截然不同。
嘿，乔丹，是你吗？好久不见！	哦，嘿，真的是这样啊！自从上次分开我们已经有三个月没见了！你现在好吗？开始你的大学生活了吗？
打扰下，请问这里是登记处吗？我想要注册下学期的课程。	是的。我需要你的学生号。
这个学期学校给我们年级又加了几门课。现在我有更多的家庭作业要做了。	丹尼尔，你最喜欢的课程是哪门啊？
学校找得怎么样？	是件很头痛的事。我不知道我想干什么。
阿美，今天你能帮我把这张便条带给李教授吗	好的，没有问题。又要请假？这个学期你已经请了五次假了。
你好，85203882。	你好，我是玛丽亚。你是雪莉吗？
你今天晚上想干什么呢？去看电影怎么样啊？	这是个不错的主意。我听说我们学校的电影俱乐部会免费放映电影。或许我们不用去电影院。
这学期我们班来了很多新老师。	是啊，你认为这些老师怎么样？
我们发完所有的水了吗？	是的。那我们现在还有别的事要做吗？
丹尼尔，想不想去看看我的寝室？	当然，我很想去。
早上好，史密斯太太。	早上好！你可以帮我吗？我在找一些书给我母亲。
打扰了，你可以告诉我你在哪里找到那本音乐书的吗？	当然可以。让我想想。噢，在那个书架上。
嗨，查理！你在看什么书？	嗨，鲍勃。我在读一本自传。
先生，有什么可以帮忙吗？	是的，我想找一本关于法律的书。
我需要硬件方面的书。	这儿有许多呢，这些需要吗？
我去找一些参考书、报纸和周刊。我们两个小时后在借书处见可以吗？	好的，亲爱的。
我能为您效劳吗？	我在做一些关于罗马文明方面的研究，这方面有没有什么书？
哇！看这些书！我打赌在这里我总可以找到一本什么书。	嘘！！声音小一点。大家都在这里看书和学习呢。
你能帮我查一本书吗？	当然可以啊，请告诉我作者的名字。
不好意思，打扰一下，你能告诉我你看的是什么书吗？	哈利波特。
这是我的借书卡，这些是书。	好的，请等一下。
您是在选课吗?	是的,可是我不知道该报名哪一个课程.
你觉得出国留学怎么样?	我觉得这是个很好的想法.出国留学能为你创造很多新机会.你打算出国留学吗?
你在澳大利亚读书还好吗?	我今年夏天就毕业了.
你好，这里是招生办公室，有什么可以为你效劳？	你好，我打电话来询问你们学校继续教育课程的有关情况。
你去哪里？	今天是星期二。我星期二晚上通常要去上课。
你成天学习为了什么？这可是暑假。	我知道。我也不想呀。可是我上了数学的速成班。
我正在考虑参加疯狂英语班，你觉得好吗？	当然好了！你应该尽一切可能提高你的英语水平。
你在国外的这一年打算做什么，提姆？	学习学习再学习。我想多学点东西。
丹尼尔，我跟不上英语老师的课。	什么问题呢？
我这几天压力很大。	怎么啦？你还好吧？
你又迟到了，玛丽亚。老师就快要来了。	我知道，但是我在走之前必须要做好全家的晚饭。
课终于上完了。快点，本杰明一定等了很长时间了。	我好累呀，背很酸，脖子也疼。
尼克，你来为我送行真是太好了。	我非常乐意，你假期过得愉快吗？
盖布莉加尔，你们的结婚典礼怎么样？	我和我丈夫请了2个朋友做见证人，去婚姻注册处注了册。可是，接着我们要办3场酒席。
汤姆，你最近看起来总是若有所思，又很不开心。你是怎么了？	上周莉莉和我分手了。确切地说，是她甩了我。
安妮，你在烦恼什么呢？你看起来不太开心。	有个人在追求我。他是我大学时的同学，已经单恋了我3年。
茱莉亚，你愿意成为我的妻子吗？	我很抱歉，史蒂文。
玛丽,最近怎么样?	哎,昨晚我和安大吵了一架.
我沮丧极了，我妻子的死对我打击很大。	振作点儿！过去的事情就让它过去吧。
今天天气不错,是吧?	嗯,而且令人激动的是,我今天见到了楼下的女孩!我觉得她人很好.
Lily认为结婚后家庭为先，工作处于次要地位。	她一定是一个好妻子。
约翰一周内约了她七次。	真的吗？这可是一种迹象。
我想知道莎拉和马特的情况怎么样了。	你不知道他们已经分手了吗？
吉米，我想穿这件礼服去参加今晚的鸡尾酒派对。你觉得怎样？	不要那样穿。你会闹笑话的。你穿上那件礼服看起来很傻。
我敢肯定你从来不敢不听老婆的。	我为何要不听她的。好像一直都是她的主意好些。
你知道吗？Dan离婚了。	真的吗？我还以为她很爱他的妻子了。
我和丈夫吵架的时候，他连理都不理我。	吵架和和好是双方面的事情。
我听说Ann离婚了。	我料想这是不可避免的。
我没法对她的建议置之不理，实际上我总是很重视她的意见的。	我知道你要是不听她的可能就会被甩掉的。
你今晚一起去吃饭如何？	我很愿意和你出去。可是非常抱歉我今晚有事。我们下次去，好吗？
喂？	嘿，Randy，你在做什么呢？
喂？	嘿，Randy，你周末有什么安排？
喂？	嘿，Kathy，你吃过午饭了吗？
喂？	嘿，Shelley，吃过午饭了吗？
你知不知道，杰克上个月离婚了。	是什么原因导致的呢？
我永远不会忘记琳达。毕竟，她是我的初恋情人。	我想随着时间的流逝，你会慢慢忘记这件事情的。
Tom和Helen终于结婚了。	你怎么知道的？我听说Tom的父亲不同意他们的婚事。
为什么你今天那么想来吃西餐啊？有什么特殊事情要庆祝吗？是不是你获得晋升了？	亲爱的，你真忘了今天是什么日子了吗？好好想想。这可是烛光晚餐啊。
最近怎么样？	事实上，我今天心情很好，你呢？
嗨，过得好吗？	挺好的，你呢？
如果让你选的话，你是愿意嫁给一个中国人还是一个外国人？	为什么这么问，汤姆向你求婚了吗？
Veronica，等一下！亲爱的，过来，进到车里来。我们仔细讨论下这件事，行吗？	不！我厌倦了你的谎言。我不再认识你。
盛装打扮啊！亚历山大，你看上去帅呆了！	谢谢，这是我的权力套装,我今晚有约。
杰克和玛丽分手了。	真可惜。他们在一起只有两个月。你知道怎么回事吗？
嗨，迪娃，你好吗？	还行吧，你呢？
你是一个幸福的丈夫吗？	是的，我是。我和我老婆都能相互理解。
我真想知道他长得什么样，真想马上见到他。他在电子邮件里说他会戴白帽子。(四下张望)啊，他在那儿。	嗨，伊莎贝拉…
嗨，玛丽，好久不见！听说你和丹尼尔打算8月8日，也就是2008年奥运会的第一天结婚，是真的吗？	是的，我们已经谈了7年恋爱，决定选个特殊的日子结婚。2008年8月8日正是个好日子。
嗯,玛丽,最近怎么样?	还行吧,昨天晚上在酒吧里遇到一个特别好的人,我们玩得非常开心,于是决定今天晚上再见一面.
那你认识玛丽多久了？	只四天。
我听说简嫁给一位商业大亨。	没错。她的丈夫很有钱。
嘿，麦克。我们今晚有个派对，你想加入我们吗？你可以带你的女朋友一起来。	额，我想和Cathy分手了。
喂，你是大卫吗？	喂，珍妮。我是大卫。
嗨，莉莉，你在干什么呢？	等某人现身呢。
娜达,怎么了？你看上去怎么闷闷不乐的？	我也不知道。我的生活一团糟。怎么这么复杂？
越来越多的中国人嫁给了外国人。	是啊，但是我挺鄙视那些和外国人在一起的女人的。
杰西卡下周就要会荷兰了,我一直在想该选个东西作为分别的礼物,但是还没有头绪.	是那个你哦几乎每周都和她在一起的女孩吗?
我再也不能忍受了。我讨厌你喝酒。我要和你离婚。	亲爱的，不要这样对我。请给我一次机会。我郑重承诺，我不会再喝酒了。
我听说你和约翰在约会？	是的。坦白告诉你，我爱死他了。
嘿，珍妮。你想和我一起吃晚餐吗？	我不知道。你知道他们怎么说办公室恋情吗？
嘿，杰克！珍妮和我们一起去吗？	是的。怎么啦？
嘿，麦克。好久不见。卡西怎么样？	我们不会再见面了。
玛丽,你和约翰的约会怎么样?	还可以.我们好像很投缘.
什么事让你这么苦恼？	说来容易做来难。我父母的电话。像往常一样，他们又提醒我，我应该计划在30岁之前结婚。我应该跟谁结婚？我都没有时间去约会。
我只是说她的品味不一样。	她是哪种女孩？
……我就知道。我就知道妳是女同志！	她是我室友，不是我的交往对象。（对怡君）这位是竹本君，竹本就是愚笨的笨。
那是真的吗？	我想是吧。安娜已经生四个了，现在肚子里还有一个。
人鬼情未了将在六点半开演。现在已经六点十五了，快点啊。	你在家磨磨蹭蹭的。现在有为了赶电影一直催我。真有意思！
那是谁？	圣犹大——他是个守护无法自拔者的圣徒。好比我表妹安娜一直在怀孕。她根本无药可救了。
Joanne, 让我们的离婚别再雪上加霜了，好吗？我们来谈正经事吧，把财产公平地分了啊，然后我们分道扬镳，好吗？	我没问题，我只是想讲清楚。我们一刀两断是件大事。我真应该签一份婚前财产协议。
如果你们分手了，孩子们怎么办？	对我来说这是解脱，对孩子来说是一场灾难。
你好像很喜欢她，是不是？	我承认。我对他一见钟情，我希望我能多了解她的一些情况。
你和Joe结婚了吧？	我不知道你在说什么。
那么，你准备去哪里度寒假？	噢，我准备去泰国见我的女朋友。
Trina,你愿意嫁给我吗？	愿意，我愿意。Jared,我会嫁给你。
我要崩溃了,你得帮帮我.	别紧张,放松。Geez，你出了很多汗。怎么了？
时间过得真快!	阿美和丹丹都已经长大了。
他们最终还是离婚了。	这是不可避免的，他们的爱情缺乏坚实的基础，这就是他们是婚姻频临破裂的原因所在。
你现在怎么办？向她求婚吗？	我当然不会罢手的，几乎难得嘛。
约翰迄今为止还未结婚了。	难道你不知道他这么多年来一直单恋着玛丽吗？
不能再这样下去了！又一个星期五的晚上没有约会! 我怎么办？	去网上浏览一下征婚启事怎么样？我就是这样认识斯蒂芬的。
什么事，丽莎？你看上去不高兴。	我刚发现我丈夫对我不忠。
我想这个假期去中国，你呢？	我？我要去法国。
你赞成春假旅游吗？	这正是我所想的.你打算去哪儿？
这是史密斯先生的寓所吗？	是的。
今年夏天我要去做一次海上旅行。	真的吗？
海伦，你有听说我要办个舞会吗？下星期六在我家。	那天我可能有别的事，但是还是谢谢你邀请我。
乔治，多好的天啊！阳光充足，只有些散落的云。这是去海滩的好日子。孩子们会有很多乐趣。当他们玩时，我们也能晒下阳光放松下。	看上去确实是个晴天。我很高兴我们选择住在城外并能享受到好天气。这儿看上去是个完美的地方。孩子们，涂些防晒油，你们的妈妈和我搭建帐篷。玛丽，过来，帮我将这些海滩手巾放好。
嗨，珍妮，你现在要去上学吗？	是啊！我早上9点有英文课。
马丁先生，我们到了。	您真是太周到了，非常感谢您来机场送我。
史蒂文，你在伦敦有朋友吗？	有啊，我的老朋友汉森就住在伦敦。
史蒂文，我们明天去购物好吗？	嗯……为何后天不去呢？明天可是周六，我讨厌星期六买东西那么挤来挤去的。
你怎么还醒着?难道昨晚到现在你都没合眼吗?	我最近一直很难入睡
有些人过分渲染自己的痛苦，告诉别人自己过得多么凄惨以博取同情。	是的。他们利用人们的热心和慷慨。
对不起,请把纸巾传给我好吗?	好的,给你。
马修，你了解世界各国的肢体语言吗？	当然。我工作中有很多出差的机会，了解到一些这方面的知识。怎么了？
嗨！苏珊！好久没见到你了！	我一直都很忙。你都好吗？
嘿，你怎么在这儿啊？	什么意思？这是我房间啊．
能用一下你的笔记本电脑吗?	当然,用吧.
你在那用手机玩什么呢?	我在写移动博客!
你怎么了,看起来很伤心的样子?	我电脑里所有的数据都丢了.这简直是个灾难.
还没有人给我发邮件?已经过了12点了,真是难以置信!	受不了了,是吧?我也遇到过这种情况.如果没有人给我打电话,发短信,我会觉得不舒服,跟少了点什么的.
喜欢什么就吃什么，别拘束。	好的，谢谢。我不会客气的。
太可怕了。人们的生命怎么样？	幸运的是没有人死亡。
你读那条新闻了吗，新闻说中国12月份房价的增长率是过去的18个月最高的,引起了对房地产泡沫市场的恐慌。	没看。报纸说什么导致房价这么快上涨了吗？
黛西，你好，最近还好吧？	挺好的，谢谢．我好长时间都没见你了’在忙什么呢？
现会人们不断听人谈论信息高速公路和互联网。	这种变化对于你，我这样的个人来说有什么裨益？
我经常在计算机上获取很多信息，用电子邮件发信息给我的朋友。	我也是。最近，我迷上了网聊。我在网上交了很多朋友。每天我都和他们聊天，和他们分享有趣的事情。我很喜欢这样。
你如何与你在美国的阿姨保持联系？	噢，我每个月打一次电话。
杰森,你好,我听说明天晚上学校电影院放映"死神来了3",我想去看.	这是恐怖电影吗?
你觉得怎么样才能让他们停下来？	我不认为有什么简单的法子就能让他们停下来。联合国派驻了维和部队到这些国家，至少能让战斗的双方被迫停下来和谈。
也许有一天我都要变得世故圆滑。	真可怕！
我渴了，停到那家商店门前吧，我要买些喝的。	恐怕不行，这儿不让停车。
约翰，你感觉如何？	还不太糟糕，但是得躺在床上。
他谈论问题时，总喜欢言过其词。	我知道他的这个特点。所以，对于他的话，我从来就没有认真对待过。
雨下得真大。	咱们得找个避雨的地方。
鲍勃!你满眼血丝,没睡好?	昨晚参加一个中国同事的聚会,多喝了几倍.中国人喝起酒来真可怕,人们老是被逼着多喝几杯.
看，一切都无法挽回，就别再多想了。	对，我知道，但是很难做到。
最近爷爷身体如何？	不是很好，医生叫他不要再抽烟了，但是他把它看做耳边风，一点儿用都没有。
您能给我些建议如何才能教子有方呢？	他不是很聪明吗？
这个可怜的女孩整天忙着学习。	是的，她有很多功课要做。
我昨天遇到马克，他看起来很忧郁。	这几年他一直在做很挣钱的工作呀，不是吗？
我会永远记住我的大学生活的.	为什么呢?
电影的演技好极了，除了情节空泛一点。	我为男主角感到有点遗憾。
在你们国家人们最常吃哪几种肉？	我们通常吃鸡肉、猪肉和牛肉。在你们国家你们也大多吃这些肉，不是吗？
今晚是派对之夜！你认为我们需要什么样的饮料？	不是每个人都想喝啤酒的。准备些软饮料和果汁吧。在大热天没有什么能够像冰饮料那样让人神清气爽。
爱丽丝，生日快乐。年年有今日，岁岁有今朝。这是送给你的礼物。	谢谢你，彼得。请到饭厅坐。我很快就要切蛋糕了。
晚上好，我来找莫立生小姐	哦 晚上好。很抱歉她不在。她去剧院了。
我们今天真幸运。	是啊，天上没几朵云彩，而且我们还在这看到了这么美的景色。 看这是圣詹姆斯公园，那是白金汉宫
你的假期什么时候开始？	我八月五日动身去度假。
比尔，你今天觉得好些了吗？	额，很难说。我晚上咳得很厉害。
啊呀，你的气色看上去很差，怎么了？	哦！我感觉实在很糟。我的喉咙肿痛，咳嗽得也很厉害。
John 你以前来过中国吗？	从来没有，这是第一次。
你昨天怎么啦？	哦，我在上班路上摔了一跤。
我累死了，太缺乏睡眠了。	昨晚没睡好？
这个周末你打算去哪儿？	我会去海南。
马修?嗨!	史蒂夫!好长时间不见了,有多久了呢?
请进,要把衣服脱了吗?	谢谢你,我带了一瓶葡萄酒,希望你能喜欢.
辛迪，我自己独有这间房间吗？	它完全是你一个人的。
哪一栋是你们家？	车道上停着咖啡色货车的那栋。
嗨，玛丽！	哈啰，大家好！
我经常回忆起我和Tom热恋的日子。	非常浪漫吗？
我真不明白她为何总是帮着她的弟弟说话，支持着她弟弟。	为什么这么说？
喂,迈克,怎么样?	还凑活吧?
我听说你明天要去美国。我想到机场为你送行。	噢，非常感谢。
你来给我们送行真是太客气了。	应该的．真遗憾，你们这么快就要走了。
每次当英雄们从战场回来的时候，我们都要脱帽向他们致敬。	那是你们显示出对他们的敬慕。
什么警察啊！	除了在电影里，我从来没看过这种情景。
嗯，东西都收拾好了，随时可以出发．	真不敢相信我们真的要离开了,过去的两周像梦境一般美妙．
猜猜我看到了谁？	谁呀？
你喜欢旅游吗，凯西？	我喜欢去一些地方旅游度假，例如。但是我们不喜欢出差去工作，等巴士，或者…
什么？你的金表丢了？	是呀，我刚才都找遍了也没找到。
你能说英语吗？	是的我会。我说得很好
我能理解你的感受。当一个人心理没有着落的时候，我们就会对他怜悯有加。这就是我们通常说的“人之初，性本善。”	说对了。但是同情人是一回事，坚持原则又是另一回是。我们必需明确区分二者。
现在你们两个平安开车回到这里。真无法形容我有多喜欢你们住在这里的那段时间。你们真是完美的房客。	而你也是完美的女主人，凡赫尔辛太太。谢谢你为我们所做的一切。你真的令我们宾至如归。
就如中国人说的：“天下无不散的宴席。”	你在哪里听到这句谚语的？
嘿，詹姆斯先生，你怎么那么匆忙？	银行还有30分钟就要关门了，我需要兑换支票。
我不知道怎么对付杰克，他实在是个捣蛋鬼，好几次把我的事情弄成一团糟。	你是说莉莉的男友？
你对增税有什么看法？	额，我想政府会获益良多。
你真的认为世界每天都在进步吗？	是的，我认为是。我觉得科学使我们变得更加聪明。你有什么看法呢？
他是做什么的？	他过去是当警察的。
你觉得那个律师的演说如何？	他有三寸不烂之舌，几乎没人能驳倒他。
我听说汤姆在超市偷东西的时候又被抓住了。	是吗？他活该！他们应该好好教训他一顿。
Mary 真让我心烦意乱。	我知道爱情是什么，我年轻时，也有这种感觉。
听说最近你在忙房子的事情？	对，我很想拥有自己的房子，所以想买一所。
我今天早上才听说火车事故的事情。	真是一场可怕的事故，死了很多人。
你哥哥出什么事情了？	他像是迷上那个姑娘了。
你看上去心事重重，怎么回事？	昨晚我惹我父亲生气了。
我想把我们的厨房完全装修一遍。	为什么？我觉得它很方便很好呀。
我能问你些事儿吗？	哈！这可不像你，你说话从来都不拐弯抹角的。
现在政府面临许多社会问题。	是失业导致了这些社会问题。
Henry，别尽想着逃避责任。	那不关我的事。
那个女人又挨打了，她为什么不报警呢？	因为是她的丈夫打的她。
你看起来非常沮丧，发生什么事情了？	我破产了，现在身无分文。
Tom去哪儿呢？	他在卧室睡着了。
要老人们根除他们的观念是很难的。	所以改革进行得不顺利。
汤姆喝酒喝得很多吗？	是的，他经常喝很多，但是当我建议他别喝多是，他总是吹牛，说他的酒量打得不得了，没人能把他灌倒。
我想就这么决定了。	我烦死了你那些陈词滥调，你以为你是谁呀？
你曾想过汤姆的态度没有？	我仔细分析过，我认为他的确讨厌Jenny的哥哥，但是他喜欢Jenny，在他眼里Jenny就是掌上明珠。
你脸色很苍白，身体一定不大好。	是的，你说对了。
约翰在哪里？我怎么哪儿都找不到他。	你还没听说他进监狱了吗？
我的一个朋友现在在监狱里，他出售可卡因给人当场抓住。	这买卖可是风险很大的。他是罪有因得。
Henry只是看上Rose父亲的钱才娶了她，是吗？	是的。但是他很快就后悔了。
苏珊得了胃癌。	太可怕了！这真让人难以置信！
今年夏天下雨很少。	就是，有些地方十分缺水。
我经常感觉到自己孤独无助，没有人可以信赖。	别傻了，我会永远支持你。
你还记得你迷恋上我的日子吗？	你诱惑我，我才迷恋上你的。
苏珊已经结婚了。	真的吗？你怎么知道的？
你知道吗？玛丽的婚姻面临破裂了。	真的吗？我从没听说过。
我母亲和我妻子的意见总是不统一。	如果你要是真爱你的妻子，你应该支持她。你总不能两者兼顾吧。
他又在计划了。	是啊，但是无论计划什么，他总是以赚钱为目的。
我们家的一个家丑就是我的弟弟居心叵测。	他的目的是什么？
约翰在生活中遇到麻烦了。	我听说他爸爸死了。
Kate，我从哪儿可以得到这个信息呢？	问问John吧，他一定知道。
他说我是个包打听，我想知道这是什么意思。	你对别人的事情很感兴趣，不是吗？
他上周又被捕了。	你的意思是说他以前进过监狱。
你去哪？	我到医院去。
我小时候就讨厌穿别人的旧衣服。	那是可以理解的，每个孩子都喜欢新衣服。
我该去奉承奉承他了。	你得做些什么才能贿赂他呢？
你见到约翰了吗？	见到了，他上个星期从美国回来。
你认为是够可以让Bob来帮帮忙？他会来吗？	没问题，你了解她的为人，她是那种乐于助人的热心肠的人。
你注意到了吗？现代都市的污染越来越严重了。	你说得对啊。我们每天呼吸的都是有毒的空气。
谁对这次事故负责？是Tony的错吗？	不，我认为这不能怪他，另外那辆车的司机犯了大错误。
今晚我们去拜访您，您介意吗？	当然不，您能来我们会非常高兴的。什么时间到呢？
我星期六晚上打算请几个人过来吃饭，您愿意来吗？	哦，恐怕我明天会很忙。
凯勒先生,我这个星期什么时候去拜访你家行吗?	当然行。你想什么时候来？
Jodge,你一定要找时间过来，你一定要来看看我新买的音响。	当然，你什么时候方便？
我打电话谈谈我们约会的事。我妻子病得很厉害,今晚就不能拜访你们了.	噢，是这样。
待在这里挺怪的，埋葬你，却又不是你。	尘归尘、土归土……
你好,我是卢卡斯,我刚搬到隔壁.	哦,卢卡斯,请进,我是芭芭拉,很高兴认识你.
嗨。我是从中国来的游客。我喜欢你的音乐。它是我所听到过的最棒的。你有时间跟我聊一会儿吗？	当然。谢谢你喜欢。实际上，那些歌今天是第一次唱，是我在上两个月创作的。
米歇尔，这是我的朋友，詹姆斯。他从纽约来上海玩。	哦，詹姆斯你好。很高兴见到你。那你来这儿是办公还是游玩的？
生日快乐!凯特,这是送给你的.	谢谢，王小姐.
米歇尔，让我给你介绍玛莉亚给你认识。她是我来自巴西的同事。玛莉亚，这是米歇尔。	嗨，米歇尔。你来上海想做什么？我是说，你的工作是什么？
嗨，Kevin，我可以介绍你给我同事认识吗？Kevin，这是Magee. Magee, 这是Kevin.	嗨，Magee，我听说了很多你的事。
Sherman先生，请容我介绍Marks小姐。	很高兴认识你Sherman先生，我是Elisabeth Marks。
哦，很晚了，我得走了，很高兴跟你谈话，凯瑞。	谢谢你，Tim.我也很高兴认识你。
对不起，请问你是Sara Willson吗?	是的，我是，你是Tom吧，很高兴认识你。
您早，能为您做些什么？	早，我想订一张8月2日去广州的机票。
